Name,Team,Position,Age,Weight,College,Salary
Avery Bradley,Boston Celtics,PG,25,180,Texas,7730337
Jae Crowder,Boston Celtics,SF,25,235,Marquette,6796117
John Holland,Boston Celtics,SG,27,205,Boston University,
R.J. Hunter,Boston Celtics,SG,22,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,PF,29,231,,5000000
Amir Johnson,Boston Celtics,PF,29,240,,12000000
Jordan Mickey,Boston Celtics,PF,21,235,LSU,1170960
Kelly Olynyk,Boston Celtics,C,25,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,PG,22,190,Louisville,1824360
Marcus Smart,Boston Celtics,PG,22,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,C,24,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,PG,27,185,Washington,6912869
Evan Turner,Boston Celtics,SG,27,220,Ohio State,3425510
James Young,Boston Celtics,SG,20,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,C,26,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,SG,27,216,,3425510
Markel Brown,Brooklyn Nets,SG,24,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,SG,28,200,North Carolina,1500000
Rondae Hollis-Jefferson,Brooklyn Nets,SG,21,220,Arizona,1335480
Jarrett Jack,Brooklyn Nets,PG,32,200,Georgia Tech,6300000
Sergey Karasev,Brooklyn Nets,SG,22,208,,1599840
Sean Kilpatrick,Brooklyn Nets,SG,26,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,PG,23,175,Miami (FL),1500000
Brook Lopez,Brooklyn Nets,C,28,275,Stanford,19689000
Chris McCullough,Brooklyn Nets,PF,21,200,Syracuse,1140240
Willie Reed,Brooklyn Nets,PF,26,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,PF,25,237,Kansas,981348
Henry Sims,Brooklyn Nets,C,26,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,PG,28,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,PF,27,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,SG,30,210,UCLA,8000000
Lou Amundson,New York Knicks,PF,33,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,SF,23,205,,30888
Carmelo Anthony,New York Knicks,SF,32,240,Syracuse,22875000
Jose Calderon,New York Knicks,PG,34,200,,7402812
Cleanthony Early,New York Knicks,SF,25,210,Wichita State,845059
Langston Galloway,New York Knicks,SG,24,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,PG,23,195,Notre Dame,1572360
Robin Lopez,New York Knicks,C,28,255,Stanford,12650000
Kyle O'Quinn,New York Knicks,PF,26,250,Norfolk State,3750000
Kristaps Porzingis,New York Knicks,PF,20,240,,4131720
Kevin Seraphin,New York Knicks,C,26,278,,2814000
Lance Thomas,New York Knicks,SF,28,235,Duke,1636842
Sasha Vujacic,New York Knicks,SG,32,195,,947276
Derrick Williams,New York Knicks,PF,25,240,Arizona,4000000
Tony Wroten,New York Knicks,SG,23,205,Washington,167406
Elton Brand,Philadelphia 76ers,PF,37,254,Duke,
Isaiah Canaan,Philadelphia 76ers,PG,25,201,Murray State,947276
Robert Covington,Philadelphia 76ers,SF,25,215,Tennessee State,1000000
Joel Embiid,Philadelphia 76ers,C,22,250,Kansas,4626960
Jerami Grant,Philadelphia 76ers,SF,22,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,PF,22,245,Bowling Green,1074169
Carl Landry,Philadelphia 76ers,PF,32,248,Purdue,6500000
Kendall Marshall,Philadelphia 76ers,PG,24,200,North Carolina,2144772
T.J. McConnell,Philadelphia 76ers,PG,24,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,PF,22,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,C,20,275,Duke,4582680
Ish Smith,Philadelphia 76ers,PG,27,175,Wake Forest,947276
Nik Stauskas,Philadelphia 76ers,SG,22,205,Michigan,2869440
Hollis Thompson,Philadelphia 76ers,SG,25,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,PF,20,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,C,23,245,,2814000
Bruno Caboclo,Toronto Raptors,SF,20,205,,1524000
DeMarre Carroll,Toronto Raptors,SF,29,212,Missouri,13600000
DeMar DeRozan,Toronto Raptors,SG,26,220,USC,10050000
James Johnson,Toronto Raptors,PF,29,250,Wake Forest,2500000
Cory Joseph,Toronto Raptors,PG,24,190,Texas,7000000
Kyle Lowry,Toronto Raptors,PG,30,205,Villanova,12000000
Lucas Nogueira,Toronto Raptors,C,23,220,,1842000
Patrick Patterson,Toronto Raptors,PF,27,235,Kentucky,6268675
Norman Powell,Toronto Raptors,SG,23,215,UCLA,650000
Terrence Ross,Toronto Raptors,SF,25,195,Washington,3553917
Luis Scola,Toronto Raptors,PF,36,240,,2900000
Jason Thompson,Toronto Raptors,PF,29,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,C,24,255,,4660482
Delon Wright,Toronto Raptors,PG,24,190,Utah,1509360
Leandro Barbosa,Golden State Warriors,SG,33,194,,2500000
Harrison Barnes,Golden State Warriors,SF,24,225,North Carolina,3873398
Andrew Bogut,Golden State Warriors,C,31,260,Utah,13800000
Ian Clark,Golden State Warriors,SG,25,175,Belmont,947276
Stephen Curry,Golden State Warriors,PG,28,190,Davidson,11370786
Festus Ezeli,Golden State Warriors,C,26,265,Vanderbilt,2008748
Draymond Green,Golden State Warriors,PF,26,230,Michigan State,14260870
Andre Iguodala,Golden State Warriors,SF,32,215,Arizona,11710456
Shaun Livingston,Golden State Warriors,PG,30,192,,5543725
Kevon Looney,Golden State Warriors,SF,20,220,UCLA,1131960
James Michael McAdoo,Golden State Warriors,SF,23,240,North Carolina,845059
Brandon Rush,Golden State Warriors,SF,30,220,Kansas,1270964
Marreese Speights,Golden State Warriors,C,28,255,Florida,3815000
Klay Thompson,Golden State Warriors,SG,26,215,Washington State,15501000
Anderson Varejao,Golden State Warriors,PF,33,273,,289755
Cole Aldrich,Los Angeles Clippers,C,27,250,Kansas,1100602
Jeff Ayres,Los Angeles Clippers,PF,29,250,Arizona State,111444
Jamal Crawford,Los Angeles Clippers,SG,36,195,Michigan,5675000
Branden Dawson,Los Angeles Clippers,SF,23,225,Michigan State,525093
Jeff Green,Los Angeles Clippers,SF,29,235,Georgetown,9650000
Blake Griffin,Los Angeles Clippers,PF,27,251,Oklahoma,18907726
Wesley Johnson,Los Angeles Clippers,SF,28,215,Syracuse,1100602
DeAndre Jordan,Los Angeles Clippers,C,27,265,Texas A&M,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,PF,29,230,UCLA,947276
Chris Paul,Los Angeles Clippers,PG,31,175,Wake Forest,21468695
Paul Pierce,Los Angeles Clippers,SF,38,235,Kansas,3376000
Pablo Prigioni,Los Angeles Clippers,PG,39,185,,947726
JJ Redick,Los Angeles Clippers,SG,31,190,Duke,7085000
Austin Rivers,Los Angeles Clippers,PG,23,200,Duke,3110796
C.J. Wilcox,Los Angeles Clippers,SG,25,195,Washington,1159680
Brandon Bass,Los Angeles Lakers,PF,31,250,LSU,3000000
Tarik Black,Los Angeles Lakers,C,24,250,Kansas,845059
Anthony Brown,Los Angeles Lakers,SF,23,210,Stanford,700000
Kobe Bryant,Los Angeles Lakers,SF,37,212,,25000000
Jordan Clarkson,Los Angeles Lakers,PG,24,194,Missouri,845059
Roy Hibbert,Los Angeles Lakers,C,29,270,Georgetown,15592217
Marcelo Huertas,Los Angeles Lakers,PG,33,200,,525093
Ryan Kelly,Los Angeles Lakers,PF,25,230,Duke,1724250
Larry Nance Jr.,Los Angeles Lakers,PF,23,230,Wyoming,1155600
